Source.Name,Column1,id,date,source,place,username,Content,hashtags,Likes,processed_text
burnleyMOS_analysisV3hashtag.xlsx,302,1476572119941239040,2021-12-30 15:13:21,"<a href=""http://www.t1x2.net/"" rel=""nofollow"">Tip 1x2</a>",,Tip_1x2,"TIP: Manchester United - Burnley, G1+, 1.82 by #tipster Plavi269 (profit this month: +126.92)
  #betting #Football #Manchester #United #Burnley","['tipster', 'betting', 'Football', 'Manchester', 'United', 'Burnley']",0,tip manchester united  burnley g1 182 by  plavi269 profit this month 12692
burnleyMOS_analysisV1hashtag.xlsx,105,1466477538293817088,2021-12-02 18:41:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,StadiumPortrait,"Last minute Christmas sporting gift ideas - check out art by Paul Town - box canvas prints, prints and jigsaws - follow the link https://t.co/box5bizmoi #Burnley #BurnleyFC @BurnleyOfficial https://t.co/feSJgtY9qi","['Burnley', 'BurnleyFC']",4,last minute christmas sporting gift ideas  check out art by paul town  box canvas prints prints and jigsaws  follow the link
burnleyMOS_analysisV3hashtag.xlsx,653,1471483356084941056,2021-12-16 14:12:25,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,Wish_Burnley,Amazing reductions on our range of sparkly dresses are not to be missed! These beauties are down to £20 - come and grab yourselves a gorgeous #Dress for your #ChristmasDo #TurnHeads #HurryDown #GrabABargain #WishBoutique #Burnley #ShopNow #ShopLocal https://t.co/B1dpSUI9b0,"['Dress', 'ChristmasDo', 'TurnHeads', 'HurryDown', 'GrabABargain', 'WishBoutique', 'Burnley', 'ShopNow', 'ShopLocal']",0,amazing reductions on our range of sparkly dresses are not to be missed these beauties are down to 20  come and grab yourselves a gorgeous  for your
burnleyMOS_analysisV3hashtag.xlsx,181,1476657306460904960,2021-12-30 20:51:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,match_league,"35' GOALLLLLLLL!!!!!!!! United have 3! Sancho passes to McTominay who strikes powerfully which forces Hennessey into an outstanding save to tip it onto the post but it rebounds back to Ronaldo who taps it in!

#ManUtd 3-0 #Burnley 

#MUNBUR | #PL https://t.co/T25QpFrlyQ","['ManUtd', 'Burnley', 'MUNBUR', 'PL']",1,"35 goallllllll united have 3 sancho passes to mctominay who strikes powerfully which forces hennessey into an outstanding save to tip it onto the post but it rebounds back to ronaldo who taps it in

 30"
burnleyMOS_analysisV3hashtag.xlsx,161,1476659573633208064,2021-12-30 21:00:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,match_league,"45' There will be +2⃣ minutes added time.

#ManUtd 3-1 #Burnley 

#MUNBUR | #PL","['ManUtd', 'Burnley', 'MUNBUR', 'PL']",1,"45 there will be 2 minutes added time

 31"
burnleyMOS_analysisV3hashtag.xlsx,182,1476657290711387904,2021-12-30 20:51:47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,elLescanero1,Gooooooooooooooollllllllll de #CristianoRonaldo #ManchesterUnited 3-0 #Burnley #RedsDevils #MUTV #PremierLeague https://t.co/3467saL0YO,"['CristianoRonaldo', 'ManchesterUnited', 'Burnley', 'RedsDevils', 'MUTV', 'PremierLeague']",0,gooooooooooooooollllllllll de   30
burnleyMOS_analysisV2hashtag.xlsx,187,1468295610591858944,2021-12-07 19:05:27,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,BridgesCanal,Old Hall Bridge No 131b .. Burnley .. Leeds and Liverpool Canal .. @CRTNorthWest @ThePhotoHour @CRTBoating @FORLancashire #Burnley @CanalRiverTrust #leedsliverpoolcanal #photography #lifesbetterbywater https://t.co/b9UqnuVc2o,"['Burnley', 'leedsliverpoolcanal', 'photography', 'lifesbetterbywater']",39,old hall bridge no 131b  burnley  leeds and liverpool canal
burnleyMOS_analysisV3hashtag.xlsx,267,1476637447408827904,2021-12-30 19:32:56,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,golden_tuber,#Manchester United vs #Burnley Live Stream https://t.co/m4EdZRHW1G,"['Manchester', 'Burnley']",0,united vs  live stream
burnleyMOS_analysisV2hashtag.xlsx,182,1468549152598642944,2021-12-08 11:52:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,BridgeBierHuis_,"Todays cask 👇🏻 

@Moorhousesbrew Premiership &amp; Pride of Pendle 
@mumblesbrewery Red Dragon 4.6%
@tomosandlilford Smooth Hound 5.2% 
Three Peaks Brewery- Scar Top Stout 5% 
#caskale #Realale #burnley #pale #stout #bitter https://t.co/ktbUWhnimB","['caskale', 'Realale', 'burnley', 'pale', 'stout', 'bitter']",9,"todays cask  

 premiership amp pride of pendle 
 red dragon 46
 smooth hound 52 
three peaks brewery scar top stout 5"
burnleyMOS_analysisV3hashtag.xlsx,719,1471048493691130112,2021-12-15 09:24:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,FutebolScore1,"English Premier League -- Burnley vs Watford

⚽️Play Time: 12/15/2021 15:30(GMT-4)

📣Prediction: 1⃣ - 0⃣ or 1⃣ 

👇Click here to view more

https://t.co/lEN1wiRgEa

#BURWAT #Burnley #LUFC #Watford #EPL #PL #PremierLeague https://t.co/oY92j99Lai","['BURWAT', 'Burnley', 'LUFC', 'Watford', 'EPL', 'PL', 'PremierLeague']",0,"english premier league  burnley vs watford

play time 12152021 1530gmt4

prediction 1  0 or 1 

click here to view more"
burnleyMOS_analysisV3hashtag.xlsx,415,1475432039012777984,2021-12-27 11:43:04,"<a href=""http://www.newsoneplace.com"" rel=""nofollow"">Newsoneplace To Twitter</a>",,newsoneplace,(Yorkshire Evening Post):#Burnley receive major boost ahead of Leeds United clash after late #AFCON rule change : Burnley's Maxwel Cornet is set to be available against Leeds United after a late change in rules ahead of the .. #TrendsSpy https://t.co/JoNuYG2smj https://t.co/7ZNEaaWiIO,"['Burnley', 'AFCON', 'TrendsSpy']",0,yorkshire evening post receive major boost ahead of leeds united clash after late  rule change  burnleys maxwel cornet is set to be available against leeds united after a late change in rules ahead of the
burnleyMOS_analysisV3hashtag.xlsx,321,1476517869953421056,2021-12-30 11:37:47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,HANZALAIMRAN171,"Who will win
#PremierLeague 
#ManchesterUnited 
#Burnley","['PremierLeague', 'ManchesterUnited', 'Burnley']",1,who will win
burnleyMOS_analysisV3hashtag.xlsx,593,1472157200936275968,2021-12-18 10:50:02,"<a href=""http://betstatz.com"" rel=""nofollow"">Betstatz Football Predictions</a>",,FreeBetTips,Tip for today - Aston Villa to beat Burnley https://t.co/lt5P8G2nwe #astonvilla #burnley #barclayspremierleague #tips,"['astonvilla', 'burnley', 'barclayspremierleague', 'tips']",1,tip for today  aston villa to beat burnley
burnleyMOS_analysisV3hashtag.xlsx,51,1476769490767654912,2021-12-31 04:17:38,"<a href=""https://revive.social/"" rel=""nofollow"">Revive Social App</a>",,365trendies_com,Manchester United vs #Burnley 3-1 – Highlights Download #365trendies #trending #heist https://t.co/CT13naWRwv #manchesterunited #epl #footballhighlights,"['Burnley', '365trendies', 'trending', 'heist', 'manchesterunited', 'epl', 'footballhighlights']",0,manchester united vs  31  highlights download
burnleyMOS_analysisV2hashtag.xlsx,3,1470868001054674944,2021-12-14 21:27:13,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,Asitseemstome,"Crunch time: is the Premier League game finally up for Burnley?
#Burnley https://t.co/tgUXwGHF8C",['Burnley'],0,crunch time is the premier league game finally up for burnley
burnleyMOS_analysisV1hashtag.xlsx,54,1467095324791557888,2021-12-04 11:35:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,AFS11v11,"Head to Head @NUFC v @BurnleyOfficial 
⚽️⚽️⚽️
https://t.co/YaXPuex36B
⚽️⚽️⚽️
#NEWBUR #NUFC #HWTL #BurnleyFC #Burnley #UTC #EPL #PremierLeague","['NEWBUR', 'NUFC', 'HWTL', 'BurnleyFC', 'Burnley', 'UTC', 'EPL', 'PremierLeague']",0,head to head  v
