ï»¿Source.Name,Column1,id,date,source,place,username,Content,hashtags,Likes,processed_text
wolvesEOS_analysisV1hashtag.xlsx,0,1.51113e+18,04/04/2022 23:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,psnlsoccer,"Wolverhampton add Sporting midfielder Matheus Nunes to list of players to be negotiated during summer transfer window

#sporting #wolves #matheusnunes","['sporting', 'wolves', 'matheusnunes']",0,wolverhampton add sporting midfielder matheus nunes to list of players to be negotiated during summer transfer window
wolvesEOS_analysisV1hashtag.xlsx,1,1.51113e+18,04/04/2022 23:42,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,LadytronFashion,"always wolves

(from Summerwater by Sarah Moss)

#Wolves
#Summerwater https://t.co/KzdGXS0st6","['Wolves', 'Summerwater']",0,"always wolves

from summerwater by sarah moss"
wolvesEOS_analysisV1hashtag.xlsx,2,1.51112e+18,04/04/2022 23:32,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,TomDwwfc,"I heard there was a load of tickets left for newcastle away at the game, so I went to buy the ticket and it was sold out. Gutted because I would have loved to have gone. So if theres anyone handing some on can someone let me know. #Wolves #wwfc #football #wolvesaywe","['Wolves', 'wwfc', 'football', 'wolvesaywe']",0,i heard there was a load of tickets left for newcastle away at the game so i went to buy the ticket and it was sold out gutted because i would have loved to have gone so if theres anyone handing some on can someone let me know
wolvesEOS_analysisV1hashtag.xlsx,3,1.51112e+18,04/04/2022 23:00,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,Earth911,"Marc Cooke of Wolves of the Rockies is fighting to stop wolf hunting in the West. The Grey Wolf faces extinction, again, after being removed from the Endangered Species List.
#Sustainability #Conservation #Ecofriendly #Wolves #Savethewolf #Livegreen 
https://t.co/3e3SBbLQ1f https://t.co/J5FWrv2uRL","['Sustainability', 'Conservation', 'Ecofriendly', 'Wolves', 'Savethewolf', 'Livegreen']",0,marc cooke of wolves of the rockies is fighting to stop wolf hunting in the west the grey wolf faces extinction again after being removed from the endangered species list
wolvesEOS_analysisV1hashtag.xlsx,4,1.51111e+18,04/04/2022 22:53,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,ThinkLFCTV,"WolvesÂ midfielder Ruben Neves, is attracting interest fromÂ Barcelona,Â while Joao Moutinho, could leave in the summer, with the club eyeingÂ Sporting Lisbon midfielders Matheus Nunes, 23, &amp; Joao Palhinha, 26, as replacements.(Athletic)
#Wolves #Barca #Lisbon 
#LFC #YNWA #ThinkLFCTV","['Wolves', 'Barca', 'Lisbon', 'LFC', 'YNWA', 'ThinkLFCTV']",1,wolvesâ midfielder ruben neves is attracting interest fromâ barcelonaâ while joao moutinho could leave in the summer with the club eyeingâ sporting lisbon midfielders matheus nunes 23 amp joao palhinha 26 as replacementsathletic
wolvesEOS_analysisV1hashtag.xlsx,5,1.5111e+18,04/04/2022 22:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,GCWolfRecovery,"Our Mexican Gray Wolf Ambassador finally has an official name - meet Willow! 
#wolves  #mexicangraywolf
@artegreen.it https://t.co/3rtDXpoFQi","['wolves', 'mexicangraywolf']",12,"our mexican gray wolf ambassador finally has an official name  meet willow 
  
it"
wolvesEOS_analysisV1hashtag.xlsx,6,1.5111e+18,04/04/2022 21:40,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,dfilightninwolf,"This is what drives people into @KaibaDeFi ðºâ¡

Time will tell fellow #Wolves

#lessmemesmoretech https://t.co/cvenMHmQOE","['Wolves', 'lessmemesmoretech']",3,"this is what drives people into  ðºâ

time will tell fellow"
wolvesEOS_analysisV1hashtag.xlsx,7,1.5111e+18,04/04/2022 21:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,UpWolverhampton,Is it time for Wolverhampton to start questioning #5g masts! Have you not noticed how they sprung up very unnaturally! Where was the consent from people of #wolves ? #planning #consent #ugly #petition #wolvescouncil #rights #5G https://t.co/84OOrjfDuq,"['5g', 'wolves', 'planning', 'consent', 'ugly', 'petition', 'wolvescouncil', 'rights', '5G']",11,is it time for wolverhampton to start questioning  masts have you not noticed how they sprung up very unnaturally where was the consent from people of
wolvesEOS_analysisV1hashtag.xlsx,8,1.51109e+18,04/04/2022 21:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Other14The,"Update to the Top Goal Scorers table for TheOther14 after #PL week 31. @Other14The 

@wilfriedzaha goes within 1 of the lead with his goal this evening.

#BrentfordFC #LCFC #CPFC #WHUFC #WatfordFC #LUFC #BHAFC #NCFC #AVFC #SaintsFC #twitterclarets #Wolves #NUFC https://t.co/6XXnpS868t","['PL', 'BrentfordFC', 'LCFC', 'CPFC', 'WHUFC', 'WatfordFC', 'LUFC', 'BHAFC', 'NCFC', 'AVFC', 'SaintsFC', 'twitterclarets', 'Wolves', 'NUFC']",42,"update to the top goal scorers table for theother14 after  week 31  

 goes within 1 of the lead with his goal this evening"
wolvesEOS_analysisV1hashtag.xlsx,9,1.51109e+18,04/04/2022 20:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Other14The,"TheOther14 baseline tracker table after #PL week 31. @Other14The 

#Wolves #WHUFC #LCFC #AVFC #CPFC #BrentfordFC #BHAFC #NUFC #SaintsFC #WatfordFC #twitterclarets #EFC #LUFC #NCFC https://t.co/qRqsPYSXIT","['PL', 'Wolves', 'WHUFC', 'LCFC', 'AVFC', 'CPFC', 'BrentfordFC', 'BHAFC', 'NUFC', 'SaintsFC', 'WatfordFC', 'twitterclarets', 'EFC', 'LUFC', 'NCFC']",33,theother14 baseline tracker table after  week 31
wolvesEOS_analysisV1hashtag.xlsx,10,1.51109e+18,04/04/2022 20:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,amc_inu,Itâs a team of them #wolves in #sheep clothing ðð,"['wolves', 'sheep']",2,itâs a team of them  in  clothing ðð
wolvesEOS_analysisV1hashtag.xlsx,11,1.51108e+18,04/04/2022 20:44,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,DickieGorton,If he signed a 10 year contract there would still be stories about him leaving every week. Keep putting the stories out and then quote the right one sometime in the future. #nevesbingo #wolves #wwfc #RubenNeves,"['nevesbingo', 'wolves', 'wwfc', 'RubenNeves']",0,if he signed a 10 year contract there would still be stories about him leaving every week keep putting the stories out and then quote the right one sometime in the future
wolvesEOS_analysisV1hashtag.xlsx,12,1.51108e+18,04/04/2022 20:30,"<a href=""https://www.canva.com"" rel=""nofollow"">Canva</a>",,FBNotified,"#Wolves are planning the departure of their two midfielders #Neves and #Moutinho. 

They are planning to replace the two midfielders with two #SportingCP central midfielders: 26-year old JoÃ£o #Palhinha and 23-year old Matheus #Nunesðµð¹

[Source: @David_Ornstein] https://t.co/NgQ2wznaFS","['Wolves', 'Neves', 'Moutinho', 'SportingCP', 'Palhinha', 'Nunes']",1,"are planning the departure of their two midfielders  and  

they are planning to replace the two midfielders with two  central midfielders 26year old joão  and 23year old matheus µð¹

source"
wolvesEOS_analysisV1hashtag.xlsx,13,1.51108e+18,04/04/2022 20:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,ricky_tooth,This is actually a Villa fan waiting for them to beat Wolves! #wolves #wwfc,"['wolves', 'wwfc']",0,this is actually a villa fan waiting for them to beat wolves
wolvesEOS_analysisV1hashtag.xlsx,14,1.51107e+18,04/04/2022 20:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,RossAftbl,Wolves are now also interested in Matheus Nunes. #Wolves #WWFC #SportingCP,"['Wolves', 'WWFC', 'SportingCP']",0,wolves are now also interested in matheus nunes
wolvesEOS_analysisV1hashtag.xlsx,15,1.51107e+18,04/04/2022 20:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Rob_wwfc,"Iâve just come up with a new Conor Coady chant. Same tune as the Arteta chant. What we think? 

Weâve got super Conor Coady 

We signed him from Huddersfield

He plays at the back 

Pings balls in attack 

The scouse Maldini

#WWFC #FWAW #WOLVES","['WWFC', 'FWAW', 'WOLVES']",4,"iâve just come up with a new conor coady chant same tune as the arteta chant what we think 

weâve got super conor coady 

we signed him from huddersfield

he plays at the back 

pings balls in attack 

the scouse maldini"
wolvesEOS_analysisV1hashtag.xlsx,16,1.51107e+18,04/04/2022 19:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Daniel_Brookes,"Arsenal are massive, massively shit. Was looking forward to that full time celebration :( Fuck @LacazetteAlex  ð #ARSCRY #WWFC #Wolves","['ARSCRY', 'WWFC', 'Wolves']",2,arsenal are massive massively shit was looking forward to that full time celebration  fuck   ð
wolvesEOS_analysisV1hashtag.xlsx,17,1.51106e+18,04/04/2022 19:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,EnviroEdgeNews,US - Whoâs killing #wolves in Idaho and stuffing them? Aggressive new law allows people to hunt or trap as many as they canâ¦even #puppies; 200 enviro groups call to #RelistWolves as endangered species https://t.co/iRg4leQ4Sj #RelistWolvesNow #wildlifecrime #AnimalRights #NoKill,"['wolves', 'puppies', 'RelistWolves', 'RelistWolvesNow', 'wildlifecrime', 'AnimalRights', 'NoKill']",18,us  whoâs killing  in idaho and stuffing them aggressive new law allows people to hunt or trap as many as they canâeven  200 enviro groups call to  as endangered species
wolvesEOS_analysisV1hashtag.xlsx,18,1.51106e+18,04/04/2022 19:33,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>",,Revelator_News,"Here's what #oil drilling the #boreal forest means for #wolves, #caribou, #bears, #moose and more. https://t.co/VewOwdnR2W","['oil', 'boreal', 'wolves', 'caribou', 'bears', 'moose']",6,heres what  drilling the  forest means for     and more
wolvesEOS_analysisV1hashtag.xlsx,19,1.51106e+18,04/04/2022 19:31,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,LiveWWFCNews,Get your #Wolves inspired t-shirt today exclusively from https://t.co/mWCCPZjDk6 https://t.co/a8hzveeSQJ,['Wolves'],1,get your  inspired tshirt today exclusively from
wolvesEOS_analysisV1hashtag.xlsx,20,1.51106e+18,04/04/2022 19:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,CucichF,TY! bipartisan activism is critical to defeat special $$ interests targeting our wildlife-esp #WildHorses #Wolves! @MartyIrby @CoryBooker @repdinatitus @repdinatitus @RepCohen @NRDems @GASenateDems @TheDemocrats @GOPLeader @GOP @newtgingrich #CatholicTwitter #RelistWolves,"['WildHorses', 'Wolves', 'CatholicTwitter', 'RelistWolves']",2,ty bipartisan activism is critical to defeat special  interests targeting our wildlifeesp
wolvesEOS_analysisV1hashtag.xlsx,21,1.51106e+18,04/04/2022 19:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,ricky_tooth,Arsenal are currently loosing! Which means 5 points from them!! #WolvesFC #wwfc #wolves https://t.co/7bewTr0IMb,"['WolvesFC', 'wwfc', 'wolves']",0,arsenal are currently loosing which means 5 points from them
