Source.Name,Column1,id,date,source,place,username,Content,hashtags,Likes,processed_text
wolvesMOS_analysisV3hashtag.xlsx,932,1473600036026081024,2021-12-22 10:23:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,waterloobrewco,"Real-life footage from our postal room.
Make them work harder.
You have until 1pm to get your Christmas order.
#wwfc #wolves 
https://t.co/KFlrKIUrR9 https://t.co/CJw6eoA0GF","['wwfc', 'wolves']",0,"reallife footage from our postal room
make them work harder
you have until 1pm to get your christmas order"
wolvesMOS_analysisV3hashtag.xlsx,1202,1472635551949857024,2021-12-19 18:30:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,KoehlerMatthew,"Fifteen #wolves have been gunned down directly north of Yellowstone National Park so far this winter, and #wolf-trapping season hasn't even begun in the area. Demand action from the Biden administration: https://t.co/MUhuQ4Vy4b 

https://t.co/BFDPIoR3jy","['wolves', 'wolf']",31,fifteen  have been gunned down directly north of yellowstone national park so far this winter and trapping season hasnt even begun in the area demand action from the biden administration
wolvesMOS_analysisV1hashtag.xlsx,637,1466529356541566976,2021-12-02 22:07:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Jenmwilsonuk,Cutest ever wolf pic! #Wolves,['Wolves'],2,cutest ever wolf pic
wolvesMOS_analysisV1hashtag.xlsx,634,1466533588372008960,2021-12-02 22:23:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,mortimer_ben,Some of this energy Saturday lads #wwfc #wolves 🐺 https://t.co/Oj3IZVyfuT,"['wwfc', 'wolves']",257,some of this energy saturday lads
wolvesMOS_analysisV3hashtag.xlsx,1995,1471213579131097088,2021-12-15 20:20:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,StarSpreads_Bet,"HT #PremierLeague live on #BTSport
#Brighton v #Wolves 
Second half traded live here: https://t.co/8Q4DdpzRbS https://t.co/4Vkqr8xX62","['PremierLeague', 'BTSport', 'Brighton', 'Wolves']",0,"ht  live on 
 v  
second half traded live here"
wolvesMOS_analysisV3hashtag.xlsx,1029,1473219441114717952,2021-12-21 09:11:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,CureLeukaemia,"‼️ ONLINE AUCTION ‼️

We have reached Day 10 of the @WolvesSportMed #12DaysofXmas fundraiser, and today sees SIGNED, MATCH WORN boots from Marcal! 

Place your bid now at https://t.co/sCtZVZWus3

#WWFC #Wolves #Boots #Marcal https://t.co/YZTpKCmkNc","['12DaysofXmas', 'WWFC', 'Wolves', 'Boots', 'Marcal']",3,"online auction 

we have reached day 10 of the   fundraiser and today sees signed match worn boots from marcal 

place your bid now at"
wolvesMOS_analysisV3hashtag.xlsx,127,1476601475161800960,2021-12-30 17:10:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,wolvesfancast,"Wolves linked to           Realising it Renato Sanches           won't happen

#wwfc #wolves
https://t.co/3znIGvzFT6","['wwfc', 'wolves']",130,wolves linked to           realising it renato sanches           wont happen
wolvesMOS_analysisV2hashtag.xlsx,813,1469657706709537024,2021-12-11 13:17:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,ASDolan16,Crazy from Jiminez- probably just thrown the game there #Wolves,['Wolves'],0,crazy from jiminez probably just thrown the game there
wolvesMOS_analysisV2hashtag.xlsx,1123,1469260316680897024,2021-12-10 10:58:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,pdowney88,The #Wolves beat the #Stars. The final score 8-4.,"['Wolves', 'Stars']",0,the  beat the  the final score 84
wolvesMOS_analysisV2hashtag.xlsx,1656,1467333095196172032,2021-12-05 03:20:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,NatSportUAE,"Coady 7⃣
Jimenez 5⃣
Salah 7⃣
Origi 8⃣

Check out @TonyEvans92a #Wolves vs #LiverpoolFC player ratings #WOLLIV 

https://t.co/7ZoBDOsXsE","['Wolves', 'LiverpoolFC', 'WOLLIV']",7,"coady 7
jimenez 5
salah 7
origi 8

check out   vs  player ratings"
wolvesMOS_analysisV2hashtag.xlsx,1085,1469336810690159104,2021-12-10 16:02:49,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,camEB_,"Took last weekend off, with the restrictions slowly increasing I have decided to stay local and head back to the Etihad tomorrow. Wolves away fans have been the best so far (vs Villa) so this should be a good one...  

SUBSCRIBE NOW⚽️
#MCIWOL @ManCity #MCFC #ManCity #WWFC #Wolves https://t.co/XdYmL78idQ","['MCIWOL', 'MCFC', 'ManCity', 'WWFC', 'Wolves']",0,"took last weekend off with the restrictions slowly increasing i have decided to stay local and head back to the etihad tomorrow wolves away fans have been the best so far vs villa so this should be a good one  

subscribe now"
wolvesMOS_analysisV1hashtag.xlsx,51,1467221329657143040,2021-12-04 19:56:39,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Wolverhampton Rooter</a>",,WolvesRooter,"An omen' - Liverpool fans all say the same thing after last-minute Wolves win
#WOL #Wolves #WWFC
https://t.co/GOZvjnqxqp","['WOL', 'Wolves', 'WWFC']",0,an omen  liverpool fans all say the same thing after lastminute wolves win
wolvesMOS_analysisV3hashtag.xlsx,789,1474050579190137088,2021-12-23 16:13:39,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,garethwood1877,Watford have roughly 27 senior players plus an u23s team. Surely must have an incredible amount of Covid at the club 🤷 Would be reassuring if teams had to name cases! #WOLWAT #wolves #wwfc #BoxingDay #PremierLeague,"['WOLWAT', 'wolves', 'wwfc', 'BoxingDay', 'PremierLeague']",0,watford have roughly 27 senior players plus an u23s team surely must have an incredible amount of covid at the club  would be reassuring if teams had to name cases
